Geodesic,Myelin,Michigan_FEOBV,Aghourian_FEOBV,Bedard_FEOBV,Tuominen_FEOBV,functional,structural,funcG1,diffG1,wresidC
0.71820843,0.72515786,0.30716527,0.2846138,0.04092264,0.19656807,0.5636404,0.80569464,0.66834295,0.91561025,0.100993544
0.7566064,0.6358539,0.3937837,0.40191978,0.10744667,0.20968026,0.16417386,0.11259901,0.5908189,0.75002474,0.050152425
0.7566084,0.6478914,0.3411224,0.30387717,0.042399645,0.19218296,0.13873982,0.43365976,0.61950356,0.9360747,0.051173445
0.7190535,0.67118037,0.28037256,0.22771049,0.03222716,0.17107552,0.37769747,0.731491,0.59127873,0.8975515,0.044552784
0.779794,0.6324316,0.18180977,0.279805,0.07686651,0.14732909,0.31533182,0.6845521,0.58959824,0.9302417,0.02648763
0.7903957,0.59970224,0.19011216,0.29122585,0.113283634,0.13243139,0.26642975,0.52737963,0.57303303,0.9327366,0.017112218
0.66225797,0.549515,0.2583124,0.34887022,0.14920843,0.15952623,0.24138719,0.30757168,0.59674543,0.8422956,0.04512954
0.70274705,0.81898296,0.5805101,0.7099367,0.21269155,0.38142908,0.44232643,0.5809013,0.50877285,0.59861314,0.020168599
0.7267812,0.71756375,0.69667184,0.609862,0.19881833,0.3894627,0.4186577,0.46898258,0.44730493,0.6997766,0.022883149
0.69334763,0.507395,0.34425396,0.5635428,0.2022196,0.26577705,0.3225293,0.27718413,0.8287966,0.55302614,0.5306959
0.56288624,0.4484601,0.63564205,0.5820282,0.21294284,0.2841034,0.22248091,0.0593417,0.86505276,0.6009922,0.62657183
0.62156963,0.43865073,0.2901376,0.58570784,0.23552632,0.19593728,0.26966012,0.22215973,0.5557999,0.5641595,0.04330607
0.9155244,0.66064656,0.16927548,0.29052657,0.03451681,0.1448434,0.04071765,0.5779287,0.59959936,0.99485165,0.026289923
0.5678373,0.6135402,0.42866623,0.49495715,0.034357905,0.1302597,0.7280911,0.5363513,0.32907668,0.56582355,0.087641574
0.76059735,0.51322615,0.29092902,0.37133712,0.12434411,0.17200112,0.56449914,0.54096705,0.37521002,0.7914086,0.05063882
0.9315353,0.6292089,0.0,0.22573012,0.07661188,0.15897167,1e-06,0.3825088,0.5826889,0.9634582,0.019892203
0.9292739,0.5098406,0.06805861,0.27967948,0.05909896,0.12902236,0.070682,0.3074273,0.6484579,0.9116446,0.07789114
0.6152115,0.44256592,0.22771455,0.31181008,0.17200315,0.22192407,0.38339,0.3148212,0.58478224,0.86842775,0.03571191
