geodesic,myelin,functional,structural,fused,funcG1,funcG2,diffG1,diffG2,wresidC
0.72036844,0.8245457,0.5636404,0.80569464,0.7955157,0.66834295,0.24648221,0.91561025,0.5400713,0.100993544
0.75583166,0.7893612,0.16417386,0.11259901,0.038209535,0.5908189,0.5448606,0.75002474,0.70244855,0.050152425
0.75583357,0.7941039,0.13873982,0.43365976,0.36335135,0.61950356,0.51265764,0.9360747,0.6584984,0.051173445
0.7211489,0.8032793,0.37769747,0.731491,0.66511977,0.59127873,0.39026996,0.8975515,0.5878143,0.044552784
0.777247,0.788013,0.31533182,0.6845521,0.61233884,0.58959824,0.3805644,0.9302417,0.56869674,0.02648763
0.78703845,0.7751181,0.26642975,0.52737963,0.49833617,0.57303303,0.35582972,0.9327366,0.5258793,0.017112218
0.66869414,0.7553451,0.24138719,0.30757168,0.311301,0.59674543,0.3507236,0.8422956,0.53916496,0.04512954
0.7060887,0.8615113,0.44232643,0.5809013,0.65268105,0.50877285,0.74709517,0.59861314,0.6797156,0.020168599
0.72828597,0.82155377,0.4186577,0.46898258,0.5711623,0.44730493,0.74386054,0.6997766,0.6350923,0.022883149
0.69740766,0.7387505,0.3225293,0.27718413,0.33618695,0.8287966,0.44792745,0.55302614,0.6924572,0.5306959
0.57691735,0.7155311,0.22248091,0.0593417,0.040509805,0.86505276,0.3856872,0.6009922,0.72186106,0.62657183
0.63111556,0.7116664,0.26966012,0.22215973,0.23723218,0.5557999,0.39876282,0.5641595,0.67932636,0.04330607
0.90260386,0.79912925,0.04071765,0.5779287,0.40705302,0.59959936,0.48600754,0.99485165,0.5948227,0.026289923
0.5810639,0.84108835,0.7280911,0.5363513,0.7956081,0.32907668,0.3647033,0.56582355,0.9836285,0.087641574
0.75951755,0.7410479,0.56449914,0.54096705,0.72139424,0.37521002,0.23653279,0.7914086,0.86987954,0.05063882
0.91739094,0.7867433,1e-06,0.3825088,0.24492285,0.5826889,0.47992495,0.9634582,0.6402526,0.019892203
0.91530246,0.739714,0.070682,0.3074273,0.22598399,0.6484579,0.41271907,0.9116446,0.6788773,0.07789114
0.6252434,0.7132089,0.38339,0.3148212,0.41334483,0.58478224,0.34978336,0.86842775,0.56366146,0.03571191
0.93471926,0.7673713,0.03374512,0.26363713,0.14610295,0.6037078,0.4070197,0.895848,0.65408164,0.040945932
0.8553772,0.75144386,0.1117123,0.25447786,0.16363072,0.56387687,0.40539622,0.8607825,0.61693716,0.019002022
0.78499883,0.73720956,0.143016,0.26988488,0.20943798,0.5757714,0.37152654,0.851304,0.5837945,0.030232558
0.7405744,0.7312982,0.26109302,0.29891506,0.314813,0.58414173,0.3048406,0.8476059,0.5650618,0.036949027
0.77253383,0.7978748,0.19326134,0.18641947,0.13378322,0.4860553,0.61340076,0.81925845,0.6630511,0.0026011486
0.39039358,0.92158216,0.75570494,0.090280205,0.35332528,0.64055675,0.45107856,0.67114335,0.67730266,0.107125156
