"(0, 0)","(0, 1)","(0, 2)","(0, 3)","(1, 0)","(1, 1)","(1, 2)","(1, 3)","(2, 0)","(2, 1)","(2, 2)","(2, 3)","(3, 0)","(3, 1)","(3, 2)","(3, 3)","(4, 0)","(4, 1)","(4, 2)","(4, 3)","(5, 0)","(5, 1)","(5, 2)","(5, 3)"
6.34248773551389e-05,2.3877728545099704e-06,1.9556289835782576e-08,1.0514781209466495e-07,5.7946219875218466e-05,1.3770597131913454e-06,2.7180854152979223e-08,9.128557792100042e-08,0.00011085175926151531,2.897078022486884e-06,1.52474149716869e-08,6.495230620081913e-08,0.00012498110868300398,3.4383301612452883e-06,2.1143174469283416e-08,2.3332376785422597e-08,7.846886788138093e-05,2.724388085686121e-06,1.3656491019820028e-08,4.613393324605358e-08,0.00011901657285068906,3.2993037068649046e-07,5.5331000309893774e-08,1.6102013701756057e-09
3.3058313353827404e-05,1.8098484642241464e-08,1.5647586554945185e-08,3.0463170591453806e-08,4.7364902990991655e-05,1.7832641290776785e-08,1.4620040569491042e-08,4.5522523131791795e-08,3.720317513644731e-05,9.857187178617279e-09,1.9252245837631435e-08,3.2300561552762394e-08,5.294791068151764e-05,4.886827256918636e-11,1.51893654252982e-08,6.01311685602732e-08,2.201539166224899e-05,2.0369005081380262e-08,2.08350807417785e-08,4.550224912880439e-08,5.412359162110234e-05,8.980678702862257e-08,1.079565978013786e-08,7.064087448113246e-08
2.5414326892367187e-05,2.2652143627656863e-08,2.0308203185661366e-09,1.894606229552889e-08,6.61016925750428e-05,1.120301097680689e-08,2.8605437793239867e-09,1.2687226913119905e-09,3.979873003154286e-05,2.1908773395744523e-09,2.361754575866065e-10,1.2418478964340662e-08,7.932289648815491e-05,2.2916309082670794e-08,2.3878970012642987e-09,8.714508895874995e-10,1.4351175403445217e-05,1.4665759105939294e-08,4.423392142642225e-11,1.2368316770058808e-09,8.362392367864888e-05,1.591505378434722e-07,7.1403494136388255e-09,4.22587497161309e-09
1.4083626238632259e-05,3.8637619536068035e-07,5.847966050073157e-11,2.7967240245181715e-08,1.872963804453331e-05,1.53915021085893e-07,1.1565180355389493e-10,1.597137512216452e-08,4.941451408035947e-05,6.489510323441521e-07,2.256740193870903e-10,5.4004711287365324e-09,4.5262431378745734e-05,8.219961930282252e-07,6.431291618253559e-12,8.161446563614855e-11,1.1985447498492505e-05,4.585080846130241e-07,1.2960456409694287e-09,5.331923698969961e-09,4.234562802926805e-05,6.119726011948397e-08,6.12395348383732e-09,8.403461151935536e-09
1.0285246617178987e-05,5.688597726834293e-07,1.6021968883168647e-12,1.2841166408698783e-08,1.4290383363443315e-05,2.2931170074760722e-07,4.1594846435333303e-10,4.662306783570344e-09,3.053817885069928e-05,8.161817253001461e-07,4.906111457715187e-10,2.791717232114499e-09,4.5626429481533745e-05,1.1572420859309176e-06,1.653369067066026e-11,4.22792555153544e-09,9.44048160313164e-06,6.817640258068692e-07,1.0656123613274222e-09,1.2721956954970103e-11,4.603619432256802e-05,5.718050760140673e-09,5.215789330710414e-09,2.0799352793852863e-08
4.105973500294373e-06,8.15258574904696e-07,3.008876928498118e-10,1.196684560129996e-09,2.0086161774274262e-06,2.282076330077912e-07,1.1021202071013028e-10,2.6849651438805456e-10,1.4920912035067917e-05,1.063617995048924e-06,1.7928558171728548e-09,1.0270572255535846e-10,3.2808754749265834e-05,1.4782592297457756e-06,1.617525971395832e-10,1.9277475556037604e-08,8.868590443442725e-06,1.030167060504912e-06,1.7463736345037946e-09,6.700796716667235e-09,3.101277007022227e-05,3.8395956886028876e-08,3.4084014133241533e-09,5.131866467348806e-08
2.669890805051839e-05,9.693852478116057e-07,3.487929435201108e-11,1.275362443873565e-10,1.2870885675057362e-05,2.9383960051702867e-07,9.819873996045866e-10,5.065306730406849e-12,7.218207648239607e-05,1.3510460937656831e-06,3.545768748845719e-11,1.1958767470210017e-08,6.034750524335323e-05,1.4427543089513934e-06,8.13605018269733e-11,1.724188986131385e-08,4.498227401532368e-05,1.1998469257615337e-06,3.0409836842776525e-11,9.56241177079925e-09,5.18827758147733e-05,2.2341129539072248e-08,7.347566442988268e-09,5.588127143332303e-08
1.0871533633013013e-05,1.4262502112628484e-06,1.464039560341525e-07,1.979397437960122e-07,2.4627132180503e-06,1.9334078725256743e-06,1.4077844067410222e-07,1.628880929519537e-07,9.09234458130885e-07,1.906283368488975e-06,1.7319168568282362e-07,9.434181995951006e-08,9.484545687166195e-06,1.4788619298941132e-06,1.467214244605762e-07,1.8730250159880183e-07,3.128228293728765e-05,2.345328627261073e-06,1.9132337969132259e-07,1.4661757620306968e-07,1.0803622247980208e-05,9.449282665795231e-07,1.6118466000531276e-07,1.6453411086018105e-07
3.052109065046989e-06,1.5805432995693184e-06,2.1520264539584495e-07,1.2445737106225913e-07,8.923641605299813e-06,2.273421156370799e-06,2.0321565962745685e-07,1.1104606100145631e-07,5.925482453583055e-05,2.2513434958349973e-06,2.7612070112316274e-07,2.3859502800666268e-08,1.7215688623062058e-07,1.421321911508627e-06,2.1548949227392902e-07,1.5094311230492309e-07,6.831520097573948e-05,2.1910525035260852e-06,2.6390626335167345e-07,1.1718080630979593e-07,1.5553020856292536e-08,8.33691536225429e-07,2.3594863705865295e-07,1.2638519767040093e-07
0.0005990329793651784,5.442082859929097e-07,1.0855500873040084e-07,7.29216927399867e-08,0.0004917608520448973,2.770084042577532e-07,1.1278307069622767e-07,4.430521037343785e-08,0.0005222326203787432,4.309174710510654e-07,1.056257091577553e-07,4.8651251827530425e-08,0.0005498508625712937,4.5645416286912833e-07,1.0838369605549586e-07,5.559300342414291e-08,0.00035704676073572986,2.6177588026634685e-07,9.051849117140776e-08,4.420319024248148e-08,0.0005465815476538018,4.5721867532856617e-07,1.0874578917840887e-07,5.6779880962987434e-08
