s1-f1,s1-f2,s1-f3,s1-f4,s2-f1,s2-f2,s2-f3,s2-f4,s3-f1,s3-f2,s3-f3,s3-f4,s4-f1,s4-f2,s4-f3,s4-f4,s5-f1,s5-f2,s5-f3,s5-f4,s6-f1,s6-f2,s6-f3,s6-f4
3.786803298263013e-05,1.1763878642430928e-06,6.8708145240523355e-09,3.667500168733983e-08,2.4740194537055068e-05,4.4419712147855525e-07,4.926065927845104e-09,1.6312036767209762e-08,4.422560468267217e-05,8.53421160825578e-07,2.3365695654179028e-09,9.788513568776617e-09,4.696931095739885e-05,9.332644784028515e-07,2.7505843196128444e-09,2.9761075156989186e-09,2.712390525108411e-05,6.57348061333252e-07,1.364918605644111e-09,4.4937196602763025e-09,4.00701650437766e-05,7.66413318096197e-08,5.032861050887775e-09,1.4237174685389328e-10
1.9737575422074167e-05,8.916609322410718e-09,5.497549170669733e-09,1.0625393059414652e-08,2.0222491074469887e-05,5.752261760214611e-09,2.6496328374282933e-09,8.134527796982005e-09,1.4842641447334964e-05,2.9037299165416756e-09,2.9502844760036253e-09,4.867794594710351e-09,1.9898422309987522e-05,1.3264294227408405e-11,1.9760339406171822e-09,7.669892541414583e-09,7.6099402684773375e-06,4.9146911454652045e-09,2.0823935894863245e-09,4.432189867842882e-09,1.822217861828309e-05,2.086171015143331e-08,9.81964094662792e-10,6.245967048251e-09
1.5173708001084973e-05,1.1160067764542793e-08,7.134988209785057e-10,6.6082864951235915e-09,2.8222181482360273e-05,3.613746869594757e-09,5.184247399706035e-10,2.2671107155595359e-10,1.587816840231887e-05,6.453885838949813e-10,3.619238981297684e-11,1.8715032145307036e-09,2.9810439597264407e-05,6.220163928414424e-09,3.106492858047498e-10,1.1115590862925844e-10,4.9606924681667325e-06,3.53859582888382e-09,4.4210260357436305e-12,1.2047476623704698e-10,2.8154267453305734e-05,3.696994960834151e-08,6.494801513141339e-10,3.736459382276442e-10
8.408675667330243e-06,1.9035657700698806e-07,2.0545967773237258e-11,9.754825732929538e-09,7.996637051186676e-06,4.964825320480844e-08,2.0959915599938305e-11,2.853962960513969e-09,1.9714497810981732e-05,1.9116797650713281e-07,3.458311106404332e-11,8.138677133031075e-10,1.7010132463366503e-05,2.2311407350647646e-07,8.366676397494296e-13,1.0410144958795868e-11,4.142944216200314e-06,1.106301272236288e-07,1.2953523760647803e-10,5.193611007620747e-10,1.4256806958683897e-05,1.4215846540280406e-08,5.570296360744126e-10,7.430222492540879e-10
6.140840540423397e-06,2.802610523764443e-07,5.629082889995149e-13,4.478931043115206e-09,6.101292977902815e-06,7.396890375754198e-08,7.538356029793355e-11,8.331186744463288e-10,1.218356329730198e-05,2.4043078924479574e-07,7.518304406308885e-11,4.207204271123424e-10,1.714692705782892e-05,3.1410972218007957e-07,2.1509215832332202e-12,5.392832940020695e-10,3.2632397464307462e-06,1.644979520375612e-07,1.0650423569782581e-10,1.2391943210397821e-12,1.549933643954168e-05,1.3282773110591176e-09,4.744237918191877e-10,1.83904960307436e-09
2.4514850705084514e-06,4.016547436354978e-07,1.057124611826125e-10,4.1739725618321207e-10,8.575806167656953e-07,7.361276545268442e-08,1.997404779862757e-11,4.7978279968341485e-11,5.952872210274652e-06,3.133205584951539e-07,2.747437742966519e-10,1.547807025844225e-11,1.2329900255980941e-05,4.0124326760209347e-07,2.104292134538064e-11,2.4588939401094353e-09,3.065557250835376e-06,2.485616214628745e-07,1.7454394856490527e-10,6.526974794150739e-10,1.0441292211786593e-05,8.919207000334772e-09,3.1002531352831244e-10,4.537524356333683e-09
1.5940671433956218e-05,4.775885776354085e-07,1.2254326573949775e-11,4.448396866206032e-11,5.4952370689722055e-06,9.478362011156763e-08,1.7796845689763435e-10,9.051316922712217e-13,2.879788287486002e-05,3.979911195766188e-07,5.43366554917487e-12,1.8022232695799013e-09,2.2679273444978355e-05,3.916061822054128e-07,1.0584452248938451e-11,2.1992495009410475e-09,1.5548777130496183e-05,2.895024591723586e-07,3.039357038427171e-12,9.314358163418455e-10,1.746774705432754e-05,5.189743273536846e-09,6.683284372705149e-10,4.940943647011745e-09
6.490885144034944e-06,7.026729685508938e-07,5.143687457820505e-08,6.90403375314615e-08,1.0514577868020356e-06,6.236579310199804e-07,2.551368974929168e-08,2.9106860269563933e-08,3.627497116604267e-07,5.615529000499052e-07,2.6540526541800946e-08,1.421760425136527e-08,3.5643992949372838e-06,4.0140685824440916e-07,1.9087467213536127e-08,2.3890938666208693e-08,1.0813175993710578e-05,5.658875233009163e-07,1.9122103932584017e-08,1.4281424503993569e-08,3.637333156035347e-06,2.1950255947800014e-07,1.4661220523719183e-08,1.4547875324228189e-08
1.822271820797132e-06,7.786887906913834e-07,7.560828122391584e-08,4.341007390244905e-08,3.809957401354015e-06,7.333357616192472e-07,3.682937008753495e-08,1.9843084429800824e-08,2.364040465321601e-05,6.632007024730782e-07,4.2313744842930325e-08,3.595700916092185e-09,6.469850050164765e-08,3.857887957758613e-07,2.8033728773846277e-08,1.9253200610677997e-08,2.361414263394005e-05,5.286633439044398e-07,2.6376509783657496e-08,1.1414107926000527e-08,5.236347323017374e-09,1.936627704863212e-07,2.146168872443488e-08,1.1174801923592469e-08
0.0003576546233312163,2.681159650732264e-07,3.8139204159203416e-08,2.5434701407528224e-08,0.00020995777069660726,8.935439372596357e-08,2.04400067292785e-08,7.917003288470403e-09,0.00020835080629420284,1.269396562708858e-07,1.618646949676278e-08,7.331894223730334e-09,0.00020664015879236282,1.2389515731397423e-07,1.4099987459547993e-08,7.091037352621372e-09,0.00012341840490220148,6.31620246399484e-08,9.047007212568348e-09,4.305653801078506e-09,0.00018402153834376855,1.0620982885722035e-07,9.89142512766399e-09,5.0203974413306035e-09
0.00034280078083752803,5.426531591703133e-07,4.5521430259604606e-08,4.20509171967932e-08,0.00023249537476875551,3.1561866672866385e-07,2.373395154547316e-08,1.9608924094264225e-08,0.00022306138975087045,3.144572263118553e-07,1.98030130040705e-08,1.7189451132887155e-08,0.00021365962608325262,2.866701489682974e-07,1.6795984455006103e-08,1.4319404517108418e-08,0.00018236368431939065,2.452751539646438e-07,1.2615723389731108e-08,1.0935910788721876e-08,0.00018841460250380453,2.3193682063740265e-07,1.1975048384443861e-08,1.0474170052329076e-08
2.4213237013029828e-05,4.1488341736518674e-07,4.960441718639039e-08,2.1192422087153959e-07,7.26988889154574e-06,1.5485199077966331e-07,2.4573783811290158e-08,9.344492424089067e-08,9.990431979237956e-06,2.130752037809095e-07,2.218005217323571e-08,8.197854518751963e-08,1.238156345019119e-05,2.0273340528325738e-07,1.844576807107761e-08,7.172302381936952e-08,1.2110070263271553e-06,1.3092247078507492e-07,1.593277603779101e-08,5.2326835598410433e-08,1.0230155995107369e-05,1.6285225122064128e-07,1.2640689182379029e-08,5.111623266505899e-08
4.706278899959841e-06,5.988447847338019e-11,1.659617181330231e-09,6.233480179750608e-09,1.1200645885096476e-05,6.098811215749654e-09,1.35195774411445e-09,3.2315143585312963e-10,4.328176535561078e-06,1.415964854366006e-09,8.725898680004074e-11,2.7942804211754102e-09,1.99799891116124e-05,3.622137652752438e-08,7.166812503476678e-10,7.151753861261895e-10,1.2549597070879922e-06,5.44962498953895e-10,6.838043304454919e-11,3.345445612411005e-12,2.0328234571885468e-05,2.3029592744415813e-08,1.2389960086758106e-09,1.1091938785506002e-09
1.0973935461647756e-05,1.0029180412837502e-06,4.419076079557799e-08,2.593581819517471e-07,3.931491485775049e-07,1.5223039889806737e-06,1.8732375629925637e-08,1.006920801507799e-07,1.56545761940644e-06,8.368709680389072e-07,2.6704640916460285e-08,6.449519519083405e-08,1.3382540417158789e-05,5.322202295547735e-07,1.661240585486415e-08,9.793966433571424e-08,5.513227382817484e-05,2.9053165517648965e-07,9.509885804543753e-09,8.595090541957929e-08,1.153147715944222e-05,2.3210437965729497e-07,1.3397474038252681e-08,6.362534609554029e-08
2.946679674448905e-05,1.4847662315567304e-06,6.631498157339985e-08,2.6296852992712096e-07,5.739779666226533e-07,1.6966126742678591e-06,3.150792031106684e-08,9.213390615533151e-08,6.033429758684271e-06,1.0606279219942824e-06,2.959422172612527e-08,9.029369780048715e-08,1.0259124828879244e-05,9.934278714294428e-07,2.492787925158705e-08,7.562126065266435e-08,5.47189150432301e-05,5.941651465625026e-07,1.463553894594062e-08,6.929489380216275e-08,8.413325667616413e-06,4.983716834994664e-07,1.9795206620684706e-08,4.8709172429822487e-08
3.3106642469051983e-06,6.03751563169125e-09,3.387422304970737e-11,4.2186801523500425e-10,1.1375349430292429e-05,2.4332717134662062e-09,8.799593516090371e-11,7.287262728677377e-10,1.711991280279847e-06,6.824267566845876e-09,2.0871040344053249e-10,5.537647638845572e-10,1.4854246585818346e-05,5.689628998202049e-08,3.063721292380087e-11,3.1728371631988556e-09,1.9293754549862505e-07,4.335795185176146e-09,1.1372945888444492e-10,5.614774343397201e-10,1.6473556485001468e-05,4.200540038901417e-10,1.729588174760866e-10,2.6170350367263414e-09
2.964960448391865e-05,1.4496756113375283e-07,8.355871414840506e-09,1.1386857578967848e-10,4.331515233524117e-05,1.1713128037503174e-07,4.715344658828122e-09,2.4244824359334e-09,1.5985478965330058e-05,9.148636567158404e-08,1.866926867848888e-09,5.712324187887256e-11,4.12750596636459e-05,1.885013266973774e-07,3.269835967694836e-09,4.10098407729113e-09,7.646644450049121e-06,6.673701924769148e-08,1.2293318973745921e-09,1.1015106358809613e-09,4.0882316957692276e-05,4.2646225765853064e-08,3.0025951398477022e-09,3.2634619809885974e-09
