labels,geodesic,myelin,Michigan_FEOBV,Aghourian_FEOBV,Bedard_FEOBV,Tuominen_FEOBV,functional,abs_functional,structural,wresidC
54,0.7964730858802795,0.8545683,0.05478472,0.41755968,0.20472625,0.26533663,0.4698338840711309,0.4166594999480915,0.4152759248240618,0.010250442060094893
46,0.9112040400505066,0.69122416,0.21244895,0.3187337,0.16089931,0.19334729,0.21099236132960275,0.19360160861815165,0.40443162505958574,0.11906030152293993
41,0.5649192929267883,0.72183794,0.50709385,0.55350924,0.35820106,0.38273734,0.5213825044902958,0.47337832280159875,0.11419792158821873,0.17906862448065847
87,0.5523003935813904,0.6414019,0.2669542,0.2711544,0.19437817,0.19894318,0.34172448029758584,0.27830376430375847,0.4180029432415024,0.10285860180573714
99,0.45018842816352844,0.7075021,0.4174029,0.46666622,0.28219673,0.3041225,0.37740747083652115,0.353386966552653,0.14455724087433736,0.41076488070053807
149,0.7086204886436462,0.65795195,0.23838851,0.25995314,0.1846126,0.19844751,0.3193063778615941,0.2534937676478267,0.26446148589620766,0.03203644734298918
6,0.8468285202980042,0.7740548,0.09594713,0.2613746,0.21594557,0.20812957,0.2699418873061443,0.21164495962260307,0.5186691498571004,0.014599963441224804
121,0.6137336492538452,0.7255699,0.30849528,0.32150292,0.20186397,0.25949246,0.5898724244711175,0.5487376167469107,0.4502732149076878,0.055218388665309835
0,,,,,,,,,,
111,0.16757963597774506,0.6517915,0.3529041,0.34415084,0.3058078,0.25595677,0.5143929653069685,0.5224631276743229,0.061558541484434806,0.3424179298419496
129,0.46823596954345703,0.6988431,0.40336177,0.375296,0.2613159,0.29352325,0.22431732946137073,0.16366671159735793,0.10906118014338324,0.012514683157652598
135,0.43706852197647095,0.620976,0.38453257,0.29752618,0.27978864,0.260984,0.7898056349909961,0.7687236465921248,0.42992642723142727,0.011880026471469083
8,0.6093220710754395,0.7707435,0.27620193,0.5125595,0.25654545,0.29956704,0.4444224318916383,0.38869934033762876,0.597240835418066,0.011253922197480424
83,0.457380086183548,0.7199457,0.14101979,0.36470908,0.19215903,0.20989476,0.3046725881059227,0.30243383545964153,0.14933833635618493,0.17840231214867194
97,0.6846984028816223,0.68331015,0.35782382,0.2819268,0.16369995,0.22709955,0.4085831045244168,0.3492654147815031,0.18713854262456814,0.07254648742065095
51,0.6889172196388245,0.76799154,0.20638025,0.34091276,0.18014273,0.24172749,0.32449808397359137,0.25680038698844077,0.5126800133440961,0.028072907458138188
147,0.5394476652145386,0.6640822,0.37074524,0.39224762,0.25082198,0.2713529,0.29169896882409807,0.39519789652506376,0.19577208864473228,0.6468493770331604
51,0.8581051230430603,0.764289,0.4209808,0.35193795,0.15212548,0.23812805,0.32449808397359137,0.25680038698844077,0.5126800133440961,0.028072907458138188
95,0.7829419374465942,0.7390867,0.334769,0.32449126,0.15072444,0.16615202,0.1944133151031413,0.3041003121063881,0.13448879451147716,0.37052821787460566
55,0.7022385001182556,0.7070981,0.093231134,0.5028705,0.18669215,0.2555945,0.5246822794342343,0.4770090572224197,0.4304259649369701,0.0664089712636658
37,0.7590839862823486,0.68510765,0.06100131,0.27054513,0.18893239,0.23343898,0.44700001859688676,0.40255887099189147,0.3019508672793431,0.3006338310855928
63,0.5250691175460815,0.63273025,0.32369685,0.3117345,0.12511978,0.18969588,0.41847358804884305,0.37558717952701093,0.2949241348828116,0.035417964292583586
64,0.31496772170066833,0.62353504,0.35823002,0.35365856,0.24162617,0.23933254,0.7151561234470756,0.6865869688899534,0.3196046596846161,0.14249978621224002
0,,,,,,,,,,
77,0.3557567298412323,0.6474795,0.31867158,0.3982857,0.25809976,0.23420976,0.30380685256061746,0.24549063464997392,0.46591181392512127,0.0321596746090601
93,0.13274961709976196,0.62629175,0.3757,0.36347002,0.28434846,0.29323906,0.8686867816315593,0.8555163821960494,0.6012309901829412,0.02232128904791097
108,0.2933773696422577,0.6491175,0.3939221,0.57577336,0.28612342,0.31599462,0.31334509141436495,0.48466914318524035,0.07244397082941118,0.9999999999999999
104,0.4164864420890808,0.8424751,0.53332,0.34429538,0.2226915,0.3888976,0.5042087882718351,0.45448212422226486,0.07284447724489743,0.05106803437708848
178,0.25498366355895996,0.6757252,0.43037623,0.27669185,0.2776836,0.35129672,0.5350631659288281,0.5038290659046948,0.28183450113663605,0.2659027587652718
28,0.5711341500282288,0.66806376,0.2681567,0.2948696,0.20462146,0.16051655,0.40709619873981273,0.35041271924283734,0.10207926154247697,0.10700108217425494
150,0.7631121277809143,0.6702928,0.30325866,0.336968,0.18726078,0.2095529,0.3651508756757136,0.39396050143085315,0.162814132580992,0.48090769560107866
137,0.695343554019928,0.64427257,0.28320843,0.35017562,0.25921187,0.20953397,0.268586570351677,0.3685587813096458,0.25861633485391844,0.4660843278773051
19,0.9532405138015747,0.77939004,0.09161812,0.20316531,0.14805883,0.1758699,0.022360498586508015,0.036385986502519535,0.23460965081567917,0.04311998968038937
15,0.7533569931983948,0.76367754,0.30949545,0.2924075,0.2074711,0.18498243,0.5679961977136765,0.5246672571510765,0.5443656814947152,0.051608099936978555
1,0.7629351019859314,0.8084634,0.3149344,0.3351456,0.18850818,0.18912916,0.5662171955216908,0.5227098253253021,0.806549143427706,0.10181221510334496
14,0.6341687440872192,0.8173347,0.35597515,0.44024235,0.25512406,0.2720846,0.729077284946146,0.7019043893477713,0.5417511250551845,0.04309273535178233
0,,,,,,,,,,
131,0.24419976770877838,0.5493025,0.23699892,0.1654102,0.19394955,0.24515314,0.6436132725151973,0.6078685423744797,0.9366667253244003,0.3141842609131565
0,,,,,,,,,,
134,0.5091602206230164,0.6604759,0.33505702,0.31983328,0.25440314,0.22964568,0.6638523525661704,0.6301375533934888,0.3426323302114964,0.020125006342649836
18,0.6636329293251038,0.7263129,0.32123375,0.26272905,0.18627086,0.212328,0.3991659621178476,0.3418032837511106,0.3190246249869865,0.02550998296086836
153,0.5487844944000244,0.75635564,0.31081036,0.3145988,0.20497504,0.2773118,0.3371317704153127,0.27121406214502486,0.36854070975950703,0.05336224458051769
8,0.694636344909668,0.86178327,0.4664133,0.41401482,0.2656543,0.3132431,0.4444224318916383,0.38869934033762876,0.597240835418066,0.011253922197480424
12,0.6202762722969055,0.693471,0.3824148,0.30779797,0.28559878,0.2204801,0.26861946949434756,0.22207059271634502,0.22078410402770515,0.028802659660008917
96,0.7318122386932373,0.7267511,0.38779896,0.42945248,0.21592191,0.2268276,0.3851151858622268,0.36654183642454197,0.17385888890318818,0.313244154256358
9,0.7389777898788452,0.82125276,0.54309833,0.52592415,0.25247863,0.3244931,0.4192658845135324,0.3610196518660014,0.47593908853221334,0.023855812944496093
9,0.6638478636741638,0.79190654,0.45685184,0.449655,0.23252103,0.39115608,0.4192658845135324,0.3610196518660014,0.47593908853221334,0.023855812944496093
53,0.8157075643539429,0.8151696,0.34408987,0.55802095,0.2362763,0.36219704,0.4371579939774075,0.3807062968024726,0.3817357268868008,0.010929597162788605
51,0.7860498428344727,0.7801689,0.3534831,0.35600543,0.18150988,0.22071369,0.32449808397359137,0.25680038698844077,0.5126800133440961,0.028072907458138188
55,0.7808585166931152,0.7345123,0.464398,0.3842826,0.22387949,0.23984404,0.5246822794342343,0.4770090572224197,0.4304259649369701,0.0664089712636658
8,0.8155061602592468,0.87577534,0.0991306,0.38280988,0.27227244,0.3332504,0.4444224318916383,0.38869934033762876,0.597240835418066,0.011253922197480424
96,0.7564977407455444,0.69099295,0.36781716,0.34849322,0.1911991,0.23073305,0.3851151858622268,0.36654183642454197,0.17385888890318818,0.313244154256358
72,0.46413126587867737,0.6425973,0.053404972,0.31368655,0.19796225,0.26036197,0.5726200552476848,0.5710974768293001,0.541846592014919,0.4656697044616446
69,0.4088750183582306,0.6206502,0.35793763,0.36602437,0.16728595,0.20797144,0.42593155784372794,0.3903283472471756,0.48421047156216496,0.2040905472508927
71,0.5496795177459717,0.626657,0.34124056,0.29257405,0.2120885,0.18344717,0.42465470366785807,0.4067007364423275,0.27788132469223736,0.3639141632642888
86,0.46511173248291016,0.6653746,0.36912572,0.40490395,0.23548374,0.28547585,0.43708694755963595,0.41821206372592956,0.23905035586079293,0.32362951813250573
90,0.4002642035484314,0.64350456,0.05283154,0.3399943,0.23619506,0.30892837,0.5512126448723977,0.5062003543956523,0.6962681601683369,0.04513967783486898
84,0.5226174592971802,0.64102006,0.32648277,0.37741536,0.2451134,0.25083536,0.3036629698684914,0.39357972139375785,0.17001686936396254,0.6488652187152122
82,0.4098097085952759,0.65771526,0.3432867,0.2698583,0.22648582,0.23304038,0.31964294869455445,0.39259613334727117,0.19520287406240477,0.5069855071278925
100,0.38726091384887695,0.7127322,0.44169903,0.4342469,0.304172,0.36956453,0.41238924345015393,0.35559392469561746,0.16564389132563756,0.1879041848596817
168,0.33459144830703735,0.71119666,0.5055848,0.50062764,0.3696843,0.4637174,0.5542131184599013,0.5095017682550811,0.06307887310055746,0.06278754310034483
108,0.38341885805130005,0.6437615,0.43070197,0.3572173,0.21691045,0.28827178,0.31334509141436495,0.48466914318524035,0.07244397082941118,0.9999999999999999
100,0.5024508833885193,0.6662563,0.07308773,0.38243753,0.20556876,0.11299978,0.41238924345015393,0.35559392469561746,0.16564389132563756,0.1879041848596817
