s1-f1,s1-f2,s1-f3,s1-f4,s2-f1,s2-f2,s2-f3,s2-f4,s3-f1,s3-f2,s3-f3,s3-f4,s4-f1,s4-f2,s4-f3,s4-f4,s5-f1,s5-f2,s5-f3,s5-f4,s6-f1,s6-f2,s6-f3,s6-f4
3.2971137058131777e-06,4.3098354546465834e-08,2.2085723798165645e-15,8.114346135628853e-09,4.896562862538306e-06,2.2695977424394418e-07,9.258830258735998e-11,6.806560878126829e-09,1.2777946839587283e-05,7.534502412239188e-08,1.8784239320845843e-10,1.366447822926478e-08,4.4284137010724004e-07,4.663863016488135e-09,2.3213111012423535e-12,1.45045746392326e-10,1.3716960845028327e-05,8.076052532821983e-08,1.4353187301037358e-10,5.242933846179678e-10,2.680374953408267e-07,5.708810671630137e-08,7.251591766993603e-10,6.257976659508584e-11
1.718521542259469e-06,3.2667048140409136e-10,1.7671464151029858e-15,2.3508687973954037e-09,4.002421995306131e-06,2.9390825995132598e-09,4.9801405521266897e-11,3.3943130128448205e-09,4.288431661566704e-06,2.563583030858712e-10,2.371803967748978e-10,6.7952986729417475e-09,1.8760855586576373e-07,6.628651654374207e-14,1.667641849798006e-12,3.7380547663348254e-10,3.848459568392684e-06,6.038095524747172e-10,2.1897998240166138e-10,5.171145515869581e-10,1.2189186421273402e-07,1.5539337682289455e-08,1.4148617798804052e-10,2.7454264534755133e-09
1.3211523461313942e-06,4.0886222299553857e-10,2.2934890521747063e-16,1.4620837496339318e-09,5.585715404919777e-06,1.8464216313901235e-09,9.744097500161756e-12,9.460024718630812e-11,4.587622785728488e-06,5.697868842962023e-11,2.909592429440438e-12,2.612563669783388e-09,2.810621583681588e-07,3.1084428019686816e-11,2.6216743496605555e-13,5.417375430153975e-12,2.5086956955562283e-06,4.347451143093476e-10,4.649054858757008e-13,1.4056088881067578e-11,1.8832962936627094e-07,2.7537940412880975e-08,9.358026916446472e-11,1.6423676832089173e-10
7.321309718730532e-07,6.973937334330999e-09,6.6043489868171046e-18,2.158255728644322e-09,1.5826890912839782e-06,2.536746816697268e-08,3.9395392513969966e-13,1.1908796499098946e-09,5.696039812353127e-06,1.6877429881659853e-08,2.780218677416573e-12,1.1361354889876421e-09,1.6037685484922942e-07,1.1149824084867175e-09,7.060921079012737e-16,5.073564169422388e-13,2.0951482860118857e-06,1.3591805798568908e-08,1.3621643955621136e-11,6.059514387698254e-11,9.536668552745896e-08,1.0589009157223431e-08,8.025954784137736e-11,3.2659681405038995e-10
5.346739166602669e-07,1.0267693647669909e-08,1.8094269538102165e-19,9.909637390420795e-10,1.2075638517845432e-06,3.779395427418891e-08,1.4168782946088652e-12,3.476373341506401e-10,3.5201536586490377e-06,2.1226639843203246e-08,6.044144002605588e-12,5.873133930383441e-10,1.6166659711710906e-07,1.5697208565164446e-09,1.815235444144173e-15,2.6282903921587858e-11,1.6502686989715128e-06,2.0209903707669666e-08,1.1199753868119927e-11,1.445798656556583e-13,1.0367821829934596e-07,9.893987368452062e-10,6.835729474816957e-11,8.083576795287263e-10
2.1344718457590453e-07,1.4715094462156548e-08,3.398048676075069e-17,9.234916583251629e-11,1.6973178579492064e-07,3.761198760811967e-08,3.7542396073487644e-13,2.002000658119736e-11,1.7199422188013722e-06,2.7661776062620604e-08,2.208730647132984e-11,2.1606932716716542e-11,1.1625016018644197e-07,2.0051589658558697e-09,1.7758832758995036e-14,1.1983844836307002e-10,1.5502977314161642e-06,3.053780532197982e-08,1.8354662143610816e-11,7.615182888218947e-11,6.98439302536284e-08,6.643682058198409e-09,4.466995985800708e-11,1.9944772850920525e-09
1.3879307195298723e-06,1.74970198791683e-08,3.9390624080658765e-18,9.842080507247169e-12,1.0876136690223842e-06,4.8429104967950854e-08,3.345021682534467e-12,3.7768637075133406e-13,8.320469988097389e-06,3.513698966169237e-08,4.3682531680569076e-13,2.5158508958899025e-09,2.1382729106928266e-07,1.9569989349016595e-09,8.932577100374732e-15,1.0718422761422068e-10,7.8632470181838e-06,3.556771832436671e-08,3.196121780945807e-13,1.0867291990215171e-10,1.168453178212239e-07,3.865702889478671e-09,9.629602217018166e-11,2.171800985955555e-09
5.651517833280328e-07,2.5743251566361693e-08,1.6534001914873372e-14,1.5275178466982168e-08,2.0810382645420268e-07,3.1865416587704415e-07,4.795447850735988e-10,1.2145486135371816e-08,1.0480798544035244e-07,4.957718268824278e-08,2.1336561497709875e-09,1.984735909083653e-08,3.3606272589586565e-08,2.0059764879668844e-09,1.6108558905607536e-11,1.1643662107552019e-09,5.468383344621732e-06,6.952385858683404e-08,2.010838874927862e-09,1.6662491112987146e-09,2.4330862321102422e-08,1.6350166736541172e-07,2.1124601885270293e-09,6.394545704205328e-09
1.586625161867581e-07,2.8528180715440665e-08,2.4303721343648905e-14,9.604481232763278e-09,7.540642371013126e-07,3.746933756529113e-07,6.922296436370868e-10,8.279969209775573e-09,6.830338128615293e-06,5.855124669921022e-08,3.4017027417214246e-09,5.019493158148766e-09,6.099977202566655e-10,1.927927332961114e-09,2.3658611498602454e-11,9.38338026528228e-10,1.194202187701995e-05,6.495056711493317e-08,2.773696421946437e-09,1.3317121959820382e-09,3.502699376612064e-11,1.4425429004756731e-07,3.0923048279354415e-09,4.911905006281068e-09
3.114045984574068e-05,9.82274407406364e-09,1.2259564364498594e-14,5.6274290819799365e-09,4.1554702456147736e-05,4.565507529685593e-08,3.841819325315896e-10,3.3035460638271518e-09,6.01980582496269e-05,1.1206977167716216e-08,1.3012688399552344e-09,1.0235109579763131e-08,1.9482681174906463e-06,6.191492931430243e-10,1.18994561205814e-11,3.455939679874131e-10,6.241451634372005e-05,7.759965520200967e-09,9.513636087808378e-10,5.023512757849e-10,1.2309575508995906e-06,7.911290032357372e-08,1.425204794933721e-09,2.206725049285548e-09
2.984715771694003e-05,1.988073743410396e-08,1.4632526203279323e-14,9.30376773706234e-09,4.6015330077518045e-05,1.6126340735721966e-07,4.4609356014980313e-10,8.18226059117359e-09,6.444833486511563e-05,2.7762127762343918e-08,1.5920113873249307e-09,2.3995970289865735e-08,2.014449852950282e-06,1.43259530030794e-09,1.4174699133435966e-11,6.978809418417534e-10,9.222401767771299e-05,3.013403621205812e-08,1.3266420429905893e-09,1.2759197535131496e-09,1.2603436518313231e-06,1.7276362056017203e-07,1.725423400247706e-09,4.603940961859948e-09
2.10821078703463e-06,1.5199742500368002e-08,1.5944972074441314e-14,4.688824549579634e-08,1.4388515784630045e-06,7.912066776026467e-08,4.6187870088666447e-10,3.899197719292955e-08,2.8865000185115788e-06,1.8811528358666412e-08,1.7831072283794847e-09,1.1443964786994859e-07,1.1673725695753954e-07,1.013132775314979e-09,1.5567007304224045e-11,3.4955455972331816e-09,6.124241995912425e-07,1.608488430988047e-08,1.6754560876389958e-09,6.105101300541926e-09,6.843159709671389e-08,1.2130434684727255e-07,1.8213321742286074e-09,2.2468235307125023e-08
4.097687532794518e-07,2.193938379971443e-12,5.334716364298741e-16,1.379157831792131e-09,2.216824390578741e-06,3.1161499022724473e-09,2.5410839913805938e-11,1.3484213850034723e-10,1.2505246696020638e-06,1.250096798693203e-10,7.014957804830746e-12,3.90073362143732e-09,1.8837759321058631e-07,1.8101143063120874e-10,6.048315372918733e-13,3.485530920334528e-11,6.346517216036576e-07,6.695305012441626e-11,7.190737668571355e-12,3.9032141205615364e-13,1.3597970144111266e-07,1.7154136249770117e-08,1.7852059027682782e-10,4.875482359546558e-10
9.55484353621014e-07,3.674308333000874e-08,1.4204792371341828e-14,5.738301198742728e-08,7.781181823286743e-08,7.778118158884542e-07,3.5208600299056075e-10,4.2016014509537806e-08,4.5230210833591634e-07,7.388387606093742e-08,2.14684969528007e-09,9.003340337475742e-08,1.2617478121459866e-07,2.6596986199400433e-09,1.4019770946208966e-11,4.773258909516138e-09,2.7881207901218698e-05,3.569416337661795e-08,1.000038915138112e-09,1.0028104670555971e-08,7.713639941388414e-08,1.7288843085487902e-07,1.9303734287905375e-09,2.7966639422332208e-08
2.5656304740526196e-06,5.439615913363706e-08,2.1316459083305186e-14,5.818180167507824e-08,1.136013377368762e-07,8.668737614720619e-07,5.922098693741817e-10,3.844492567882413e-08,1.7432174250646283e-06,9.363845195756256e-08,2.379149979718155e-09,1.2604735736072797e-07,9.672624108628644e-08,4.964521436663711e-09,2.1037480081767994e-11,3.685532910566507e-09,2.767216623794977e-05,7.299799328650469e-08,1.539041455468194e-09,8.0848066089694e-09,5.6278448989941554e-08,3.7122392291752054e-07,2.8521899552769175e-09,2.1410207495918207e-08
2.8825464657286016e-07,2.2119149405028843e-10,1.0888617812834213e-17,9.333832151800156e-11,2.2514016001508198e-06,1.243265145266903e-09,1.6539352884169429e-12,3.040772780584311e-10,4.946395583784142e-07,6.024863549720042e-10,1.6778726492883863e-11,7.730393902059011e-10,1.400504877736232e-07,2.8433151455266405e-10,2.5855779793394182e-14,1.5463370596999702e-10,9.757137597415662e-08,5.326875022047842e-10,1.1959542629595035e-11,6.550896065873001e-11,1.1019497460945116e-07,3.1288714893761416e-10,2.492075032782747e-11,1.1503226264240948e-09
2.5815472739423064e-06,5.311057294440002e-09,2.685932905264968e-15,2.5193428641270814e-11,8.572906166613148e-06,5.984750387920383e-08,8.862767256267522e-11,1.0116693294430173e-09,4.618627645454457e-06,8.076952792836991e-09,1.50086698034801e-10,7.9742372481156e-11,3.8915418600212045e-07,9.420098873230947e-10,2.7595251223253455e-12,1.998685508827864e-10,3.867021416946685e-06,8.1991825188515e-09,1.292738695568175e-10,1.2851596965078539e-10,2.734701449095119e-07,3.176604881575308e-08,4.32628558102266e-10,1.4344607941897327e-09
5.619256502202233e-07,1.4346214908671909e-08,3.594541912924722e-15,7.458484626136281e-10,6.641829947376265e-07,5.0030655903481267e-08,8.299384918616157e-11,9.523960434737488e-10,3.7788851864121457e-06,2.791946208072453e-08,4.458962022826503e-10,5.774593159082237e-09,1.4289868465055675e-07,1.754613051644465e-09,3.366937605470433e-12,3.4176336815390424e-10,3.5920687026626733e-06,2.9609590561773314e-08,3.994007158309077e-10,4.308241508952479e-10,9.029896267475726e-08,4.0732484437874674e-08,2.227066391411606e-10,3.2125840834288324e-09
