"(0, 0)","(0, 1)","(0, 2)","(0, 3)","(1, 0)","(1, 1)","(1, 2)","(1, 3)","(2, 0)","(2, 1)","(2, 2)","(2, 3)","(3, 0)","(3, 1)","(3, 2)","(3, 3)","(4, 0)","(4, 1)","(4, 2)","(4, 3)","(5, 0)","(5, 1)","(5, 2)","(5, 3)"
6.342487735514029e-05,2.3877728545101847e-06,1.955628983579807e-08,1.0514781209469719e-07,5.794621987521929e-05,1.3770597131915387e-06,2.718085415299589e-08,9.128557792105263e-08,0.00011085175926151579,2.897078022487089e-06,1.5247414971697397e-08,6.495230620086019e-08,0.00012498110868300688,3.4383301612456677e-06,2.1143174469310574e-08,2.333237678542624e-08,7.846886788138309e-05,2.7243880856864232e-06,1.3656491019830475e-08,4.6133933246083886e-08,0.0001190165728506866,3.2993037068660047e-07,5.5331000309909894e-08,1.6102013701758733e-09
3.305831335382808e-05,1.8098484642273346e-08,1.5647586554947247e-08,3.0463170591460344e-08,4.736490299099241e-05,1.7832641290794563e-08,1.4620040569493684e-08,4.552252313179343e-08,3.72031751364479e-05,9.857187178621405e-09,1.9252245837633745e-08,3.230056155279625e-08,5.294791068151911e-05,4.88682725694369e-11,1.5189365425311795e-08,6.01311685602778e-08,2.2015391662250275e-05,2.036900508138424e-08,2.0835080741786112e-08,4.5502249128843475e-08,5.412359162110337e-05,8.980678702869025e-08,1.079565978015588e-08,7.064087448115378e-08
2.541432689236696e-05,2.2652143627685043e-08,2.030820318566313e-09,1.8946062295542524e-08,6.610169257504326e-05,1.1203010976825466e-08,2.8605437793242997e-09,1.268722691312078e-09,3.979873003154331e-05,2.190877339576487e-09,2.361754575866949e-10,1.2418478964355154e-08,7.932289648815515e-05,2.291630908268788e-08,2.387897001264644e-09,8.714508895874154e-10,1.4351175403445542e-05,1.4665759105963909e-08,4.42339214264456e-11,1.2368316770060014e-09,8.362392367864808e-05,1.5915053784351486e-07,7.1403494136393185e-09,4.225874971613012e-09
1.4083626238633337e-05,3.8637619536071577e-07,5.847966050072667e-11,2.7967240245194408e-08,1.872963804453454e-05,1.5391502108589608e-07,1.1565180355390036e-10,1.5971375122169287e-08,4.941451408036087e-05,6.489510323441838e-07,2.2567401938704296e-10,5.400471128736241e-09,4.5262431378746995e-05,8.219961930281904e-07,6.431291618245377e-12,8.161446563610803e-11,1.1985447498493124e-05,4.585080846130375e-07,1.2960456409694e-09,5.331923698969668e-09,4.234562802926717e-05,6.11972601194871e-08,6.123953483837083e-09,8.403461151935786e-09
1.028524661717913e-05,5.688597726834402e-07,1.6021968883064995e-12,1.2841166408706566e-08,1.4290383363443741e-05,2.2931170074768163e-07,4.159484643534951e-10,4.66230678357035e-09,3.0538178850699866e-05,8.161817253001194e-07,4.906111457712927e-10,2.7917172321145564e-09,4.5626429481534666e-05,1.1572420859309358e-06,1.6533690670705888e-11,4.227925551535443e-09,9.440481603132417e-06,6.817640258068733e-07,1.0656123613271403e-09,1.2721956954971142e-11,4.603619432256727e-05,5.718050760141624e-09,5.215789330710829e-09,2.0799352793871806e-08
4.10597350029451e-06,8.152585749047305e-07,3.0088769284977347e-10,1.1966845601302314e-09,2.0086161774276926e-06,2.2820763300782568e-07,1.1021202071013899e-10,2.6849651438816163e-10,1.4920912035068225e-05,1.063617995049008e-06,1.7928558171726844e-09,1.0270572255528182e-10,3.28087547492671e-05,1.478259229745958e-06,1.6175259713951572e-10,1.9277475556056242e-08,8.86859044344321e-06,1.030167060505018e-06,1.7463736345036575e-09,6.700796716666665e-09,3.1012770070221735e-05,3.839595688604981e-08,3.4084014133241165e-09,5.1318664673512315e-08
2.669890805051954e-05,9.693852478117197e-07,3.4879294352051564e-11,1.27536244387325e-10,1.2870885675057954e-05,2.9383960051708923e-07,9.819873996047382e-10,5.065306730412829e-12,7.218207648239818e-05,1.3510460937657668e-06,3.545768748851115e-11,1.195876747021183e-08,6.0347505243355694e-05,1.4427543089515486e-06,8.136050182705487e-11,1.7241889861323085e-08,4.49822740153247e-05,1.199846925761587e-06,3.040983684273138e-11,9.562411770798971e-09,5.1882775814772365e-05,2.2341129539084355e-08,7.34756644298853e-09,5.5881271433338264e-08
1.0871533633013974e-05,1.4262502112630157e-06,1.4640395603415074e-07,1.9793974379609467e-07,2.462713218050791e-06,1.9334078725258505e-06,1.4077844067415373e-07,1.6288809295196748e-07,9.09234458130834e-07,1.9062833684892309e-06,1.731916856828432e-07,9.43418199595465e-08,9.484545687166758e-06,1.4788619298942792e-06,1.4672142446057608e-07,1.8730250159888012e-07,3.128228293728809e-05,2.345328627261091e-06,1.9132337969137812e-07,1.466175762030912e-07,1.0803622247981544e-05,9.449282665796293e-07,1.6118466000537126e-07,1.6453411086023778e-07
3.0521090650469956e-06,1.580543299569567e-06,2.1520264539591205e-07,1.244573710622678e-07,8.923641605299686e-06,2.2734211563709947e-06,2.032156596274898e-07,1.1104606100149846e-07,5.925482453582991e-05,2.2513434958353116e-06,2.7612070112324236e-07,2.385950280069665e-08,1.7215688623065732e-07,1.421321911508801e-06,2.1548949227394582e-07,1.5094311230493442e-07,6.831520097573989e-05,2.1910525035263635e-06,2.6390626335176287e-07,1.1718080630980681e-07,1.555302085628775e-08,8.336915362256349e-07,2.3594863705871193e-07,1.2638519767040136e-07
0.0005990329793651811,5.442082859929802e-07,1.0855500873042199e-07,7.292169273999103e-08,0.0004917608520449007,2.7700840425780443e-07,1.1278307069626335e-07,4.430521037347593e-08,0.0005222326203787488,4.3091747105110026e-07,1.0562570915777342e-07,4.865125182755711e-08,0.0005498508625713005,4.564541628691749e-07,1.0838369605552102e-07,5.559300342419058e-08,0.0003570467607357329,2.617758802664164e-07,9.051849117143495e-08,4.4203190242487404e-08,0.0005465815476538049,4.572186753286646e-07,1.0874578917844416e-07,5.6779880962995395e-08
