s1-f1,s1-f2,s1-f3,s1-f4,s2-f1,s3-f1,s4-f1,s4-f2,s5-f3,s6-f2,s6-f4
3.29711370581318E-06,4.30983545464658E-08,2.20857237981656E-15,8.11434613562885E-09,4.89656286253831E-06,1.27779468395873E-05,4.4284137010724E-07,4.66386301648814E-09,1.43531873010374E-10,5.70881067163014E-08,6.25797665950858E-11
1.71852154225947E-06,3.26670481404091E-10,1.76714641510299E-15,2.3508687973954E-09,4.00242199530613E-06,4.2884316615667E-06,1.87608555865764E-07,6.62865165437421E-14,2.18979982401661E-10,1.55393376822895E-08,2.74542645347551E-09
1.32115234613139E-06,4.08862222995539E-10,2.29348905217471E-16,1.46208374963393E-09,5.58571540491978E-06,4.58762278572849E-06,2.81062158368159E-07,3.10844280196868E-11,4.64905485875701E-13,2.7537940412881E-08,1.64236768320892E-10
7.32130971873053E-07,6.973937334331E-09,6.6043489868171E-18,2.15825572864432E-09,1.58268909128398E-06,5.69603981235313E-06,1.60376854849229E-07,1.11498240848672E-09,1.36216439556211E-11,1.05890091572234E-08,3.2659681405039E-10
5.34673916660267E-07,1.02676936476699E-08,1.80942695381022E-19,9.90963739042079E-10,1.20756385178454E-06,3.52015365864904E-06,1.61666597117109E-07,1.56972085651644E-09,1.11997538681199E-11,9.89398736845206E-10,8.08357679528726E-10
2.13447184575905E-07,1.47150944621565E-08,3.39804867607507E-17,9.23491658325163E-11,1.69731785794921E-07,1.71994221880137E-06,1.16250160186442E-07,2.00515896585587E-09,1.83546621436108E-11,6.64368205819841E-09,1.99447728509205E-09
1.38793071952987E-06,1.74970198791683E-08,3.93906240806588E-18,9.84208050724717E-12,1.08761366902238E-06,8.32046998809739E-06,2.13827291069283E-07,1.95699893490166E-09,3.19612178094581E-13,3.86570288947867E-09,2.17180098595556E-09
5.65151783328033E-07,2.57432515663617E-08,1.65340019148734E-14,1.52751784669822E-08,2.08103826454203E-07,1.04807985440352E-07,3.36062725895866E-08,2.00597648796688E-09,2.01083887492786E-09,1.63501667365412E-07,6.39454570420533E-09
1.58662516186758E-07,2.85281807154407E-08,2.43037213436489E-14,9.60448123276328E-09,7.54064237101313E-07,6.83033812861529E-06,6.09997720256666E-10,1.92792733296111E-09,2.77369642194644E-09,1.44254290047567E-07,4.91190500628107E-09
3.11404598457407E-05,9.82274407406364E-09,1.22595643644986E-14,5.62742908197994E-09,4.15547024561477E-05,6.01980582496269E-05,1.94826811749065E-06,6.19149293143024E-10,9.51363608780838E-10,7.91129003235737E-08,2.20672504928555E-09
2.984715771694E-05,1.9880737434104E-08,1.46325262032793E-14,9.30376773706234E-09,4.6015330077518E-05,6.44483348651156E-05,2.01444985295028E-06,1.43259530030794E-09,1.32664204299059E-09,1.72763620560172E-07,4.60394096185995E-09
2.10821078703463E-06,1.5199742500368E-08,1.59449720744413E-14,4.68882454957963E-08,1.438851578463E-06,2.88650001851158E-06,1.1673725695754E-07,1.01313277531498E-09,1.675456087639E-09,1.21304346847273E-07,2.2468235307125E-08
4.09768753279452E-07,2.19393837997144E-12,5.33471636429874E-16,1.37915783179213E-09,2.21682439057874E-06,1.25052466960206E-06,1.88377593210586E-07,1.81011430631209E-10,7.19073766857136E-12,1.71541362497701E-08,4.87548235954656E-10
9.55484353621014E-07,3.67430833300087E-08,1.42047923713418E-14,5.73830119874273E-08,7.78118182328674E-08,4.52302108335916E-07,1.26174781214599E-07,2.65969861994004E-09,1.00003891513811E-09,1.72888430854879E-07,2.79666394223322E-08
2.56563047405262E-06,5.43961591336371E-08,2.13164590833052E-14,5.81818016750782E-08,1.13601337736876E-07,1.74321742506463E-06,9.67262410862864E-08,4.96452143666371E-09,1.53904145546819E-09,3.71223922917521E-07,2.14102074959182E-08
2.8825464657286E-07,2.21191494050288E-10,1.08886178128342E-17,9.33383215180016E-11,2.25140160015082E-06,4.94639558378414E-07,1.40050487773623E-07,2.84331514552664E-10,1.1959542629595E-11,3.12887148937614E-10,1.15032262642409E-09
2.58154727394231E-06,5.31105729444E-09,2.68593290526497E-15,2.51934286412708E-11,8.57290616661315E-06,4.61862764545446E-06,3.8915418600212E-07,9.42009887323095E-10,1.29273869556818E-10,3.17660488157531E-08,1.43446079418973E-09
5.61925650220223E-07,1.43462149086719E-08,3.59454191292472E-15,7.45848462613628E-10,6.64182994737627E-07,3.77888518641215E-06,1.42898684650557E-07,1.75461305164447E-09,3.99400715830908E-10,4.07324844378747E-08,3.21258408342883E-09
1.19041641118199E-06,6.49854729727326E-09,6.73975963893169E-16,1.11711472231507E-12,4.18184919229436E-06,3.63200487105302E-06,2.27148157133881E-07,1.00926326216327E-09,1.75998550892125E-11,1.62010313182591E-08,1.25483063771032E-09
4.67079001377213E-07,5.85171212395886E-09,3.52612485876386E-17,5.19622131619295E-12,1.45428865142327E-06,2.43209819424465E-06,1.1830080212708E-07,8.44968843358708E-10,1.87309347868372E-11,5.28698533815038E-10,1.27043438481066E-09
