s1-f1,s1-f2,s1-f3,s1-f4,s2-f1,s2-f2,s2-f3,s2-f4,s3-f1,s3-f2,s3-f3,s3-f4,s4-f1,s4-f2,s4-f3,s4-f4,s5-f1,s5-f2,s5-f3,s5-f4,s6-f1,s6-f2,s6-f3,s6-f4
3.7868032982630947e-05,1.1763878642431985e-06,6.870814524057779e-09,3.667500168735107e-08,2.474019453705542e-05,4.441971214786176e-07,4.926065927848125e-09,1.631203676721909e-08,4.422560468267217e-05,8.534211608256383e-07,2.3365695654195116e-09,9.788513568782806e-09,4.696931095739885e-05,9.332644784029547e-07,2.750584319616377e-09,2.976107515699383e-09,2.7123905251084855e-05,6.573480613333249e-07,1.3649186056451553e-09,4.493719660279255e-09,4.00701650437766e-05,7.664133180964526e-08,5.03286105088924e-09,1.4237174685391693e-10
1.973757542207457e-05,8.916609322426424e-09,5.497549170670458e-09,1.0625393059416933e-08,2.0222491074470205e-05,5.752261760220346e-09,2.6496328374287723e-09,8.134527796982296e-09,1.4842641447335197e-05,2.9037299165428908e-09,2.9502844760039794e-09,4.867794594715454e-09,1.9898422309988074e-05,1.3264294227476409e-11,1.976033940618951e-09,7.66989254141517e-09,7.609940268477781e-06,4.914691145466164e-09,2.082393589487085e-09,4.4321898678466894e-09,1.8222178618283436e-05,2.0861710151449033e-08,9.819640946644314e-10,6.245967048252884e-09
1.5173708001084838e-05,1.1160067764556674e-08,7.134988209785678e-10,6.608286495128346e-09,2.822218148236047e-05,3.613746869600749e-09,5.184247399706603e-10,2.2671107155596925e-10,1.587816840231905e-05,6.453885838955807e-10,3.6192389812990383e-11,1.8715032145328873e-09,2.98104395972645e-05,6.220163928419062e-09,3.106492858047947e-10,1.1115590862924771e-10,4.960692468166845e-06,3.5385958288897586e-09,4.421026035745964e-12,1.2047476623705874e-10,2.8154267453305462e-05,3.696994960835143e-08,6.494801513141788e-10,3.7364593822763723e-10
8.408675667330885e-06,1.9035657700700545e-07,2.0545967773235532e-11,9.754825732933965e-09,7.9966370511872e-06,4.964825320480944e-08,2.0959915599939287e-11,2.8539629605148206e-09,1.9714497810982294e-05,1.9116797650714213e-07,3.458311106403607e-11,8.138677133030636e-10,1.701013246336698e-05,2.2311407350646701e-07,8.366676397483652e-13,1.04101449587907e-11,4.142944216200528e-06,1.1063012722363203e-07,1.2953523760647516e-10,5.193611007620461e-10,1.4256806958683601e-05,1.4215846540281135e-08,5.57029636074391e-10,7.4302224925411e-10
6.1408405404234816e-06,2.8026105237644966e-07,5.629082889958732e-13,4.47893104311792e-09,6.101292977902995e-06,7.396890375756599e-08,7.538356029796294e-11,8.331186744463299e-10,1.2183563297302215e-05,2.404307892447879e-07,7.518304406305421e-11,4.2072042711235107e-10,1.714692705782926e-05,3.1410972218008455e-07,2.150921583239156e-12,5.3928329400207e-10,3.2632397464310143e-06,1.6449795203756219e-07,1.0650423569779764e-10,1.2391943210398833e-12,1.549933643954143e-05,1.3282773110593383e-09,4.744237918192255e-10,1.8390496030760351e-09
2.451485070508533e-06,4.016547436355148e-07,1.0571246118259904e-10,4.173972561832941e-10,8.57580616765809e-07,7.361276545269555e-08,1.997404779862915e-11,4.7978279968360614e-11,5.952872210274776e-06,3.1332055849517865e-07,2.7474377429662577e-10,1.5478070258430703e-11,1.2329900255981417e-05,4.0124326760214297e-07,2.104292134537186e-11,2.4588939401118122e-09,3.065557250835544e-06,2.4856162146290007e-07,1.745439485648916e-10,6.526974794150184e-10,1.0441292211786413e-05,8.919207000339634e-09,3.1002531352830913e-10,4.5375243563358275e-09
1.5940671433956906e-05,4.775885776354647e-07,1.2254326573964e-11,4.448396866204933e-11,5.495237068972458e-06,9.478362011158716e-08,1.7796845689766182e-10,9.051316922722903e-13,2.8797882874860865e-05,3.979911195766435e-07,5.433665549183139e-12,1.802223269580175e-09,2.2679273444979283e-05,3.9160618220545495e-07,1.0584452248949064e-11,2.1992495009422254e-09,1.5548777130496538e-05,2.895024591723715e-07,3.0393570384226586e-12,9.314358163418184e-10,1.7467747054327224e-05,5.189743273539659e-09,6.683284372705388e-10,4.940943647013091e-09
6.490885144035518e-06,7.026729685509761e-07,5.1436874578204435e-08,6.904033753149027e-08,1.0514577868022452e-06,6.236579310200372e-07,2.5513689749301018e-08,2.9106860269566398e-08,3.627497116604064e-07,5.615529000499804e-07,2.6540526541803947e-08,1.421760425137076e-08,3.564399294937495e-06,4.0140685824445427e-07,1.9087467213536113e-08,2.3890938666218672e-08,1.081317599371073e-05,5.658875233009207e-07,1.9122103932589565e-08,1.4281424503995665e-08,3.6373331560357968e-06,2.1950255947802476e-07,1.4661220523724505e-08,1.4547875324233206e-08
1.8222718207971363e-06,7.786887906915059e-07,7.560828122393942e-08,4.341007390245207e-08,3.809957401353961e-06,7.333357616193103e-07,3.682937008754092e-08,1.9843084429808355e-08,2.3640404653215755e-05,6.63200702473171e-07,4.231374484294253e-08,3.5957009160967637e-09,6.469850050166146e-08,3.8578879577590853e-07,2.803372877384846e-08,1.9253200610679443e-08,2.361414263394019e-05,5.28663343904507e-07,2.637650978366644e-08,1.1414107926001586e-08,5.236347323015763e-09,1.9366277048636904e-07,2.146168872444025e-08,1.1174801923592508e-08
0.0003576546233312163,2.681159650732611e-07,3.813920415921085e-08,2.543470140752974e-08,0.00020995777069664995,8.935439372598011e-08,2.0440006729284967e-08,7.917003288477207e-09,0.00020835080629420284,1.2693965627089606e-07,1.6186469496765558e-08,7.3318942237343555e-09,0.0002066401587924004,1.2389515731398685e-07,1.4099987459551265e-08,7.091037352627452e-09,0.00012341840490220148,6.316202463996518e-08,9.047007212571066e-09,4.305653801079083e-09,0.00018402153834376855,1.062098288572432e-07,9.8914251276672e-09,5.020397441331307e-09
0.00034280078083752803,5.426531591703932e-07,4.5521430259622215e-08,4.2050917196797644e-08,0.00023249537476875551,3.1561866672865723e-07,2.3733951545477525e-08,1.9608924094266276e-08,0.00022306138975087045,3.144572263118825e-07,1.9803013004080617e-08,1.7189451132895387e-08,0.00021365962608325262,2.866701489683033e-07,1.6795984455010044e-08,1.4319404517115117e-08,0.0001823636843194252,2.452751539646436e-07,1.2615723389731598e-08,1.0935910788724849e-08,0.00018841460250380453,2.3193682063740447e-07,1.197504838444557e-08,1.0474170052334056e-08
2.421323701303048e-05,4.148834173651939e-07,4.960441718639363e-08,2.1192422087155555e-07,7.2698888915460145e-06,1.5485199077965416e-07,2.457378381129504e-08,9.344492424089997e-08,9.99043197923824e-06,2.130752037809269e-07,2.2180052173246234e-08,8.19785451875238e-08,1.2381563450191312e-05,2.027334052832547e-07,1.8445768071085388e-08,7.17230238193732e-08,1.2110070263271965e-06,1.3092247078506973e-07,1.593277603779772e-08,5.2326835598416396e-08,1.0230155995107469e-05,1.6285225122064517e-07,1.2640689182379148e-08,5.111623266507094e-08
4.70627889996011e-06,5.988447847384071e-11,1.659617181330359e-09,6.233480179753252e-09,1.1200645885096777e-05,6.098811215759878e-09,1.3519577441145507e-09,3.23151435853084e-10,4.328176535561202e-06,1.4159648543640275e-09,8.72589868000655e-11,2.79428042117792e-09,1.9979989111612947e-05,3.622137652752337e-08,7.166812503477553e-10,7.151753861262492e-10,1.254959707088086e-06,5.449624989531763e-10,6.838043304456258e-11,3.3454456124079563e-12,2.0328234571884973e-05,2.3029592744421514e-08,1.2389960086769949e-09,1.109193878550847e-09
1.0973935461647845e-05,1.0029180412838597e-06,4.419076079559898e-08,2.5935818195178385e-07,3.9314914857749894e-07,1.5223039889806669e-06,1.8732375629929865e-08,1.0069208015079195e-07,1.5654576194065218e-06,8.368709680389324e-07,2.6704640916466373e-08,6.449519519084681e-08,1.3382540417159102e-05,5.322202295547884e-07,1.6612405854871046e-08,9.793966433573133e-08,5.513227382817484e-05,2.9053165517654233e-07,9.509885804545687e-09,8.595090541958983e-08,1.153147715944284e-05,2.321043796573144e-07,1.3397474038254117e-08,6.362534609554967e-08
2.9466796744489573e-05,1.4847662315567418e-06,6.631498157340045e-08,2.6296852992718084e-07,5.739779666227179e-07,1.6966126742677882e-06,3.1507920311067524e-08,9.21339061553457e-08,6.033429758684459e-06,1.0606279219942456e-06,2.959422172612933e-08,9.029369780049675e-08,1.0259124828879307e-05,9.934278714294295e-07,2.492787925159349e-08,7.562126065266484e-08,5.47189150432301e-05,5.941651465625087e-07,1.4635538945944885e-08,6.929489380216827e-08,8.413325667616891e-06,4.983716834994586e-07,1.9795206620686463e-08,4.870917242983239e-08
3.3106642469054727e-06,6.037515631694076e-09,3.387422304971019e-11,4.218680152349615e-10,1.1375349430293032e-05,2.433271713465273e-09,8.799593516091345e-11,7.287262728677834e-10,1.7119912802800376e-06,6.824267566847952e-09,2.087104034405218e-10,5.537647638845254e-10,1.4854246585818584e-05,5.6896289982017155e-08,3.06372129238092e-11,3.1728371632007065e-09,1.929375454986608e-07,4.3357951851812785e-09,1.1372945888444492e-10,5.614774343397404e-10,1.6473556485001668e-05,4.200540038903431e-10,1.7295881747609246e-10,2.617035036727743e-09
2.9649604483918724e-05,1.449675611337666e-07,8.35587141485126e-09,1.1386857578970648e-10,4.331515233524117e-05,1.1713128037503795e-07,4.715344658830332e-09,2.424482435935231e-09,1.598547896533018e-05,9.148636567160214e-08,1.866926867851645e-09,5.7123241878861425e-11,4.12750596636459e-05,1.8850132669741346e-07,3.2698359676965605e-09,4.1009840772943625e-09,7.64664445004918e-06,6.673701924771674e-08,1.2293318973764973e-09,1.1015106358826152e-09,4.0882316957692276e-05,4.264622576587093e-08,3.0025951398501937e-09,3.263461980989338e-09
6.453832337904661e-06,3.915860197908741e-07,1.1182531760498105e-08,3.3710656616872443e-09,3.3558267215821712e-06,9.791811527855607e-08,4.415602849087436e-09,2.282433016653363e-09,1.307905600903779e-05,3.1623932722954865e-07,5.5464981988041885e-09,4.136614844964934e-09,1.5156336349356684e-05,3.5110766089245716e-07,3.989575450605143e-09,7.012439549950037e-09,7.1029532158884315e-06,2.410064431051199e-07,3.798107393931935e-09,3.6925946689405238e-09,1.3499209627587569e-05,5.4683751744440745e-08,1.5456628088327701e-09,7.30877139303311e-09
1.3672178742948965e-05,1.7738060434489573e-07,2.0967226991979493e-09,5.0491048374158016e-12,2.1129058371438654e-05,1.1180790163568218e-07,1.3556381595898135e-09,9.924100321780034e-10,1.2570690240711516e-05,1.352750610585776e-07,3.785673600385682e-10,1.587323642425954e-11,2.4092131282219002e-05,2.0195909455405035e-07,8.508962097116215e-10,2.5595105814745215e-09,3.4645100370911593e-06,8.821486155897856e-08,1.6736609900010476e-10,6.294205233384431e-10,2.2577838141565314e-05,2.1750040215759904e-08,1.253862180638516e-09,2.8547954014047304e-09
5.364498955089671e-06,1.597249639832129e-07,1.096968798244598e-10,2.3485740237584384e-11,7.347885682119559e-06,6.943589254907891e-08,6.273472919092287e-12,3.0104405802459283e-10,8.41770705719878e-06,1.3371365350440686e-07,1.711579720681561e-10,1.6311200451593128e-10,1.2547398541990246e-05,1.6908288345434906e-07,2.8586982532101986e-11,1.6450348809694748e-09,2.3450943916457947e-06,8.976386822806569e-08,1.7812211918834522e-10,4.667560321581265e-10,1.0373410207221129e-05,7.09782861757103e-10,1.265285232084105e-10,2.890294618691953e-09
1.032399015598874e-05,4.229175256544654e-07,2.8098158260434275e-10,4.807846178912835e-10,6.263295948290525e-06,1.2586181559392855e-07,4.2521045235981333e-10,5.139986655294649e-10,1.3922001891292154e-05,3.178335589909242e-07,2.5045100750162093e-11,1.0340669135269635e-09,1.8116991766236397e-05,3.649784797825302e-07,1.304379134125984e-10,3.5275296188519205e-09,7.639672115662174e-06,2.432168127948437e-07,7.95534828721733e-12,1.4778603296512806e-09,1.50744817754388e-05,2.1653831849764045e-08,7.735422402826022e-10,5.2677386320271866e-09
