Networks,Residuals
Visual,6.342487735514029e-05
Visual,3.305831335382808e-05
Visual,2.541432689236696e-05
Visual,1.4083626238633337e-05
Visual,1.028524661717913e-05
Visual,4.10597350029451e-06
Visual,2.669890805051954e-05
Visual,7.882510352886992e-06
Visual,5.545006098424468e-06
Visual,4.965989463681697e-05
Visual,1.0809474172846308e-05
Visual,2.289942708000797e-05
Visual,8.984958063557217e-06
Visual,1.7291571752871337e-05
Visual,1.1610422544239772e-05
Visual,1.8490695617272392e-06
Visual,0.0003950901495172
Visual,7.315960423981913e-05
Visual,0.0003544500013755
Visual,1.247785174383814e-07
Visual,3.3652223653176053e-06
Visual,2.1056873707161256e-05
Visual,2.041940821431846e-05
Visual,4.474784378249851e-05
Visual,0.000284361346535
Visual,9.770818724121033e-08
Visual,1.852148685811211e-05
Visual,3.366183596361864e-05
Visual,2.803640901745303e-05
Visual,3.830755487897284e-05
Visual,6.0016148264220246e-05
Visual,2.4400740486274264e-05
Visual,1.2471340936734214e-05
Visual,8.032292354002662e-06
Visual,8.072508540916086e-07
Visual,1.6278545465640557e-05
Visual,7.822036134372769e-06
Visual,1.765192305810598e-06
Visual,5.082267256941086e-07
Visual,2.9081729815161404e-05
Visual,4.087282625564302e-06
Visual,4.5131625909784e-06
Visual,8.965835406683955e-07
Visual,3.58267659388668e-06
Visual,0.0002652230006323
Visual,4.679437451338736e-05
Visual,0.0003508176108701
Visual,3.319366013970843e-06
Visual,2.659468327645554e-05
Visual,5.905706474468982e-05
Visual,1.6046795055226985e-05
Visual,2.183545956773818e-05
Visual,2.254413838497244e-05
Visual,0.0002124517225947
Visual,7.460330825363108e-06
Visual,1.104562366732844e-05
Visual,3.1599565055471536e-05
Visual,2.5884855882466084e-05
Visual,1.5296304075666082e-05
Somatomotor,1.0871533633013974e-05
Somatomotor,3.052109065046996e-06
Somatomotor,0.0001102552413333
Somatomotor,1.5523922382103595e-05
Somatomotor,2.51442790610124e-06
Somatomotor,3.509877696238831e-05
Somatomotor,0.0001670471553985
Somatomotor,1.918778687175875e-06
Somatomotor,8.816199386631859e-06
Somatomotor,9.78078071009699e-06
Somatomotor,7.918014852911677e-06
Somatomotor,8.647145012082884e-05
Somatomotor,0.0003659675196045
Somatomotor,0.0004407133699266
Somatomotor,0.0002288244081545
Somatomotor,2.5225215607554752e-05
Somatomotor,5.854191413037782e-05
Somatomotor,0.000196347136497
Somatomotor,5.170271416100408e-05
Somatomotor,3.534075477975153e-05
Somatomotor,0.0002233152558852
Somatomotor,1.3662205859309233e-05
Somatomotor,1.5466546302724311e-06
Somatomotor,7.384028908670878e-05
Somatomotor,2.4652499684344463e-05
Somatomotor,5.985772464677042e-05
Somatomotor,8.414833251622694e-06
Somatomotor,5.865688810129416e-06
Somatomotor,7.281526499545692e-06
Somatomotor,0.0001252878391463
Somatomotor,1.4418330181729414e-05
Somatomotor,4.177008114310269e-06
Somatomotor,3.178500231395997e-05
Somatomotor,0.0001414538116284
Somatomotor,3.758410783253256e-06
Somatomotor,3.0195330881323254e-06
Somatomotor,1.6944562167032546e-06
Somatomotor,5.616026167206979e-06
Somatomotor,9.982260704983372e-05
Somatomotor,0.0004467333613822
Somatomotor,0.0001682233015736
Somatomotor,4.005014105328197e-07
Somatomotor,3.885722236759179e-05
Somatomotor,0.0001574772345336
Somatomotor,0.00010344509495
Somatomotor,2.6319882284319164e-05
Somatomotor,2.8571096677385544e-05
Somatomotor,4.8656343338907e-06
Somatomotor,0.0001344509131751
Somatomotor,6.464060299642522e-05
Somatomotor,2.6320863598176808e-05
Somatomotor,6.886547331650445e-05
Somatomotor,6.43658326566515e-06
Somatomotor,
Somatomotor,
Somatomotor,
Somatomotor,
Somatomotor,
Somatomotor,
Limbic,0.0001350849069603
Limbic,2.3562604149040936e-11
Limbic,0.000190926615039
Limbic,3.375234019422584e-05
Limbic,0.0001621488154547
Limbic,0.0002783595331939
Limbic,0.000252416453617
Limbic,4.094529876930572e-06
Limbic,0.0002360179601166
Limbic,1.1481522638350945e-05
Limbic,4.85034493110893e-06
Limbic,4.000105578273536e-05
Limbic,0.00022198561219
Limbic,1.5109299696269045e-05
Limbic,0.0001940114778434
Limbic,1.0175170437986992e-06
Limbic,0.0004526176101771
Limbic,4.015029420388715e-05
Limbic,0.0001298785914965
Limbic,0.0004090024207059
Limbic,0.0002538122083862
Limbic,2.381805284809633e-09
Limbic,0.0002626705923534
Limbic,2.421175586021022e-05
Limbic,1.1648772970641278e-06
Limbic,8.43376083910556e-05
Limbic,5.948422643396967e-05
Limbic,0.0003411842771141
Limbic,1.3991024721868546e-06
Limbic,
Limbic,
Limbic,
Limbic,
Limbic,
Limbic,
Limbic,
Limbic,
Limbic,
Limbic,
Limbic,
Limbic,
Limbic,
Limbic,
Limbic,
Limbic,
Limbic,
Limbic,
Limbic,
Limbic,
Limbic,
Limbic,
Limbic,
Limbic,
Limbic,
Limbic,
Limbic,
Limbic,
Limbic,
Limbic,
Frontoparietal,4.935371135927037e-05
Frontoparietal,7.658577066011203e-05
Frontoparietal,2.76341285418984e-05
Frontoparietal,0.0001784336027926
Frontoparietal,2.942748819995448e-06
Frontoparietal,5.177472580743479e-05
Frontoparietal,2.6240011037372148e-06
Frontoparietal,0.0001800245162357
Frontoparietal,1.4330890127780009e-05
Frontoparietal,0.0004612882275183
Frontoparietal,0.0001634052703163
Frontoparietal,0.0006010671739542
Frontoparietal,9.58663083536526e-05
Frontoparietal,0.0003131974331033
Frontoparietal,4.858455817127733e-06
Frontoparietal,0.0002717475446092
Frontoparietal,5.081534771411584e-05
Frontoparietal,7.849203525173146e-05
Frontoparietal,0.0003179992545994
Frontoparietal,4.348129331126569e-05
